index,X,Y,Z,X2,Y2,Z2
1657,-4.591755e-02,1.393942e-01,8.426384e-04,-2.526172e+00,3.062974e+02,6.477444e+00
1658,-4.783455e-02,1.392109e-01,8.765413e-04,-3.977347e+01,3.045420e+02,7.354783e+00
1659,-4.597713e-02,1.395578e-01,8.438452e-04,-2.530905e+00,3.066670e+02,6.485302e+00
1660,-4.789640e-02,1.393742e-01,8.777883e-04,-3.982314e+01,3.049093e+02,7.363694e+00
1661,-4.603670e-02,1.397215e-01,8.450520e-04,-2.535638e+00,3.070366e+02,6.493160e+00
1662,-4.795825e-02,1.395376e-01,8.790352e-04,-3.987280e+01,3.052766e+02,7.372606e+00
1663,-4.609627e-02,1.398852e-01,8.462588e-04,-2.540372e+00,3.074062e+02,6.501018e+00
1664,-4.802010e-02,1.397009e-01,8.802822e-04,-3.992246e+01,3.056438e+02,7.381517e+00
1665,-4.615585e-02,1.400488e-01,8.474656e-04,-2.545105e+00,3.077758e+02,6.508875e+00
1666,-4.808195e-02,1.398643e-01,8.815292e-04,-3.997212e+01,3.060111e+02,7.390428e+00
1667,-4.621542e-02,1.402125e-01,8.486724e-04,-2.549838e+00,3.081454e+02,6.516733e+00
1668,-4.814380e-02,1.400276e-01,8.827761e-04,-4.002178e+01,3.063784e+02,7.399340e+00
1669,-4.627499e-02,1.403762e-01,8.498792e-04,-2.554571e+00,3.085150e+02,6.524591e+00
1670,-4.820565e-02,1.401909e-01,8.840231e-04,-4.007144e+01,3.067456e+02,7.408251e+00
1671,-4.633456e-02,1.405398e-01,8.510860e-04,-2.559304e+00,3.088846e+02,6.532449e+00
1672,-4.826750e-02,1.403543e-01,8.852701e-04,-4.012110e+01,3.071129e+02,7.417163e+00
1673,-4.639414e-02,1.407035e-01,8.522928e-04,-2.564037e+00,3.092542e+02,6.540307e+00
1674,-4.832934e-02,1.405176e-01,8.865170e-04,-4.017076e+01,3.074802e+02,7.426074e+00
1675,-4.645371e-02,1.408672e-01,8.534996e-04,-2.568770e+00,3.096238e+02,6.548165e+00
1676,-4.839119e-02,1.406810e-01,8.877640e-04,-4.022042e+01,3.078474e+02,7.434986e+00
1677,-4.651328e-02,1.410308e-01,8.547064e-04,-2.573503e+00,3.099935e+02,6.556023e+00
1678,-4.845304e-02,1.408443e-01,8.890110e-04,-4.027008e+01,3.082147e+02,7.443897e+00
1679,-4.657286e-02,1.411945e-01,8.559132e-04,-2.578236e+00,3.103631e+02,6.563880e+00
